gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,useless_drops,winner
0,2190.0,2196.6,34.44,17.01,2,2,50,50,13,11,60,5,8224,331,90,-1
50,15026.9,8728.2,3551.76,3392.95,2,2,50,50,1,5,60,60,52,5234,58,-1
100,4424.0,4709.2,1465.52,1410.2,2,2,50,50,11,5,60,2,2372,690,1,-1
150,4190.0,4889.8,2105.83,1740.34,3,2,50,50,25,5,60,58,2221,2044,127,-1
200,4780.0,4338.9,730.91,440.87,2,2,50,50,7,22,60,20,9536,637,119,-1
250,4035.9,3751.9,-521.95,-566.52,2,2,50,50,8,6,60,12,5445,357,1,-1
300,3647.9,4640.0,601.32,576.41,2,2,50,50,5,3,60,10,1964,710,0,-1
350,3887.0,3727.2,262.9,570.9,2,2,50,50,25,25,60,18,8737,966,0,-1
400,4689.4,6060.5,2336.98,2326.45,2,3,50,50,19,1,60,87,2166,3584,32,-1
450,4406.2,3689.7,1230.85,1188.79,2,3,50,50,9,25,60,65,2387,3646,323,-1
500,3785.5,3727.6,864.97,1137.86,2,2,50,50,25,25,60,41,3640,2926,219,-1
550,4650.0,3717.7,1978.16,1850.29,2,2,50,50,6,25,60,28,7490,1139,373,-1
600,3547.8,3685.7,1199.19,1231.52,2,1,21,20,5,5,1,2,2818,336,249,-1
650,3685.1,3682.0,1005.52,887.88,2,2,50,50,4,2,60,3,9760,559,3,-1
700,3787.8,3777.3,577.38,579.22,2,2,50,50,15,14,60,12,9312,742,6,-1
750,3938.6,3689.0,822.78,636.51,2,2,50,50,15,7,60,13,11059,607,86,-1
800,3779.3,3769.0,977.2,710.91,2,2,50,50,24,18,60,16,10049,876,143,-1
850,8595.4,6927.4,1598.78,1669.99,3,2,50,50,1,1,60,81,3225,4376,588,-1
900,6143.4,8724.3,229.63,151.55,2,2,50,50,2,1,60,19,9340,1000,92,-1
950,4829.5,4820.0,-646.08,-993.23,2,2,50,50,4,3,60,11,10660,761,119,-1
1000,5906.6,6895.8,1526.48,1695.9,2,2,50,50,3,1,60,75,1353,1810,40,-1
1050,4042.0,4539.8,736.22,897.48,2,2,50,50,16,3,60,72,4447,973,19,-1
1100,4246.1,5825.1,1690.93,1775.46,3,3,50,50,13,1,60,78,2168,2316,57,-1
1150,3894.9,3757.5,2038.9,2088.72,3,3,50,50,4,14,60,77,233,185,40,-1
1200,3856.4,3585.7,2190.81,2197.3,3,3,50,50,9,14,60,75,647,58,66,-1
1250,3496.2,3697.3,2196.04,2209.68,2,2,50,50,23,9,60,63,155,62,40,-1
1300,3550.0,4898.0,2224.3,2234.4,2,2,21,20,25,1,1,32,26,238,90,-1
1350,4364.4,4290.0,2520.0,2554.65,3,3,50,50,10,17,60,83,276,1052,134,-1
1400,4451.4,4903.3,2478.79,2478.8,3,3,50,50,14,4,60,87,1421,1059,41,-1
1450,3986.9,4559.7,2403.9,2416.43,3,3,25,50,22,5,35,67,294,439,19,-1
1500,4154.9,3649.3,2459.62,2421.91,3,3,42,23,9,23,25,56,193,377,5,-1
1550,4297.7,3753.5,2595.43,2578.98,2,2,50,34,12,25,44,73,70,960,21,-1
1600,4652.7,4432.7,2592.51,2604.79,3,3,49,27,7,8,36,69,281,747,6,-1
1650,4014.7,4407.8,2564.44,2627.63,2,3,50,45,17,20,55,77,321,1034,16,-1
1700,5046.4,5403.9,2597.95,2591.53,2,2,20,20,5,2,0,38,168,745,2,-1
1750,5948.3,5320.0,2547.85,2457.63,2,3,50,50,3,5,60,76,2941,2671,100,-1
1800,8121.2,9675.5,2643.6,2812.16,3,3,50,50,1,2,60,84,2662,6805,143,-1
1850,8071.3,6417.9,3226.42,3208.16,3,3,50,50,1,3,60,88,2208,5940,172,-1
1900,7184.4,8771.9,3247.33,3271.49,3,3,50,50,4,1,60,80,845,6069,98,-1
1950,6451.6,4912.7,3046.03,2885.96,2,2,50,50,2,8,60,85,972,4107,251,-1
2000,7778.1,6210.1,2771.04,2633.04,2,2,50,50,1,1,60,71,4262,3570,316,-1
2050,6034.0,5957.2,969.3,1182.54,2,2,50,50,1,1,60,61,7802,1171,81,-1
2100,4890.0,5911.3,1336.19,1472.27,2,3,50,50,3,1,60,37,4641,690,58,-1
2150,8230.0,7359.6,1936.66,2227.71,2,3,38,50,2,3,48,76,1098,2916,30,-1
2200,6227.4,6428.8,2746.36,2759.24,3,3,20,20,1,2,0,30,540,1496,7,-1
2250,4492.7,6925.5,2592.45,2591.01,2,2,21,20,22,1,1,20,275,1347,2,-1
2300,4790.1,4885.4,2523.9,2443.29,3,3,50,50,4,6,60,84,958,3113,286,-1
2350,5038.5,4296.5,2780.76,2680.3,2,2,22,21,6,25,3,32,362,1198,9,-1
2400,6048.3,6770.0,2630.26,2736.14,2,2,20,21,1,1,1,38,328,997,9,-1
2450,7483.6,7207.3,2654.54,2580.97,2,3,50,50,2,1,60,80,2004,2362,69,-1
2500,5781.9,5014.3,1819.72,1731.95,2,3,50,50,3,8,60,82,5754,4177,119,-1
2550,5376.6,7992.6,1944.56,2140.96,3,3,50,50,7,2,60,81,5353,3571,217,-1
2600,8479.6,6702.0,1531.33,1679.64,3,3,50,50,1,2,60,95,8562,6447,716,-1
2650,7733.8,3580.4,-373.4,-518.75,2,2,50,50,1,5,60,76,11544,2921,243,-1
2700,4473.8,3557.7,-1203.68,-1163.63,3,3,50,50,1,4,60,87,19070,3465,455,-1
2750,2805.5,3478.4,-568.51,-988.12,3,3,50,50,14,4,60,65,10148,1458,156,-1
2800,5510.0,6219.6,921.99,1052.36,3,3,50,50,1,1,60,85,10064,5847,1173,-1
2850,5687.1,4151.6,1925.85,1889.22,3,3,50,50,1,5,60,68,1628,2541,360,-1
2900,6449.6,5379.8,2947.22,2846.54,3,3,50,50,3,4,60,80,711,3305,331,-1
2950,16825.7,12759.9,3544.33,3255.15,3,3,50,50,1,1,60,89,5094,15270,1540,-1
3000,13801.7,12682.6,3132.65,3171.68,3,3,50,50,1,1,60,67,16546,27803,976,-1
3050,7405.7,10884.9,89.42,236.81,2,2,50,50,2,1,60,18,10431,1566,6,-1
3100,4819.8,3718.7,-896.69,-969.04,2,2,50,50,2,11,60,21,8935,2115,85,-1
3150,3961.2,4468.8,-1095.02,-669.05,2,2,50,50,11,6,60,39,10151,1449,128,-1
3200,4207.5,3556.4,-54.18,-235.87,2,2,50,50,18,24,60,54,10121,4499,150,-1
3250,4707.8,4454.9,710.8,525.71,3,3,50,50,6,6,60,71,9761,7513,439,-1
3300,3770.0,3913.7,1012.76,1179.69,2,2,50,50,13,8,60,44,1964,752,8,-1
3350,4349.4,4244.7,856.49,859.32,3,3,50,50,2,6,60,60,6138,2387,87,-1
3400,4376.5,4390.0,1068.36,1036.45,2,2,50,50,3,2,60,37,4043,839,59,-1
3450,5794.5,12209.3,2519.68,2444.12,3,3,50,50,9,1,60,73,1840,3659,182,-1
3500,7435.0,8929.2,1804.32,1824.41,2,2,50,50,2,1,60,68,3327,5305,278,-1
3550,9624.0,5618.6,1875.66,1806.92,2,2,50,50,1,6,60,71,4093,7039,397,-1
3600,5470.9,6304.9,-148.33,-242.33,2,2,50,50,2,3,60,38,9188,1485,276,-1
3650,4649.9,3554.9,-1044.34,-784.49,2,2,50,50,4,13,60,17,9562,1104,116,-1
3700,3768.1,3857.3,-941.54,-796.85,2,2,50,50,21,12,60,39,10585,1802,60,-1
3750,10543.5,7206.2,1696.77,1349.42,2,2,50,50,4,4,60,60,8724,3083,19,-1
3800,8555.1,8642.5,2338.95,2463.27,2,3,50,50,1,1,60,64,4187,6395,8,-1
3850,8509.7,8728.9,4115.92,4011.6,2,3,50,50,5,2,60,61,1775,11331,7,-1
3900,8769.2,7723.1,3388.68,3221.72,2,2,50,50,1,4,60,62,2676,10731,6,-1
3950,6780.0,7723.1,1943.68,1825.48,3,2,50,50,1,1,60,33,4635,7454,0,-1
4000,7870.0,6975.9,2950.18,2810.44,2,2,50,50,2,3,60,58,3814,8628,2,-1
4050,6893.4,7895.4,2679.17,2649.8,2,2,50,50,1,1,60,64,2764,7098,60,-1
4100,7130.0,7359.0,3000.45,3011.85,3,3,50,50,1,1,60,73,2325,6696,53,-1
4150,5098.4,6526.8,1695.92,1611.56,2,2,50,50,7,1,60,34,6554,2102,3,-1
4200,9290.0,5617.3,1953.66,1870.03,3,2,50,50,1,4,60,57,5761,2061,4,-1
4250,8311.5,9927.3,2387.91,2474.34,2,3,50,50,4,2,60,82,4894,4442,2,-1
4300,7498.6,7557.4,3309.71,3240.49,3,3,50,50,3,2,60,84,2123,5832,109,-1
4350,8302.5,10877.9,3089.62,3145.07,2,2,50,50,2,1,60,83,860,5191,87,-1
4400,9828.9,8248.8,2714.54,2755.12,2,2,50,50,1,1,60,86,5190,4696,182,-1
4450,4069.0,4960.9,1058.6,1013.67,3,3,50,50,9,1,60,89,8759,2750,72,-1
4500,5899.5,6527.1,2164.63,2177.51,3,3,50,50,3,1,60,89,7430,4491,138,-1
4550,6723.7,5636.8,1088.03,948.31,2,3,50,50,1,3,60,83,9131,2743,47,-1
4600,4357.1,4439.7,887.38,747.59,2,2,50,50,14,8,60,51,3636,1098,67,-1
4650,4433.4,4130.0,1581.31,1487.47,2,2,50,50,9,12,60,53,5016,1461,173,-1
4700,4091.9,4569.7,564.12,734.52,2,2,50,50,11,2,60,26,8192,985,116,-1
4750,3819.3,3689.7,-1163.39,-1298.9,2,2,50,50,8,9,60,18,11314,525,3,-1
4800,3576.6,3687.1,-1655.07,-1567.02,2,2,50,50,3,5,60,19,11440,514,1,-1
4850,3687.8,3589.3,-1568.02,-1697.73,2,2,50,50,7,6,60,14,11826,273,0,-1
4900,3697.2,3688.6,-1500.09,-1688.66,2,2,50,50,8,4,60,19,11499,323,122,-1
4950,3789.5,3683.4,-1471.52,-1264.05,2,2,50,50,6,10,60,7,10920,553,91,-1
